LSOA11CD,population
E01013074,1628
E01013075,1372
E01013076,1533
E01013077,2164
E01013078,1450
E01013079,1516
E01013080,1361
E01013081,1498
E01013082,1627
E01013083,1426
E01013084,1318
E01013085,1788
E01013086,1406
E01013087,1315
E01013088,2264
E01013089,1756
E01013090,1425
E01013091,1506
E01013092,2834
E01013093,1698
E01013094,1464
E01013095,1469
E01013096,1773
E01013097,1300
E01013098,2133
E01013099,1415
E01013100,1635
E01013101,1581
E01013102,1418
E01013103,1350
E01013104,1096
E01013105,1444
E01013106,1169
E01013107,2249
E01013108,2003
E01013110,1591
E01013111,1385
E01013112,1400
E01013113,1523
E01013114,1519
E01013115,1401
E01013116,2054
E01013117,1506
E01013118,1561
E01013119,1433
E01013120,2125
E01013121,2452
E01013122,1522
E01013123,2365
E01013124,2293
E01013125,1649
E01013126,2355
E01013127,1632
E01032596,1436
E01033495,1545
E01033496,1580
E01034752,1513
E01034753,1171
E01034754,1252
E01034755,2213
E01034756,2441
E01034757,1209
E01034758,2062
E01034759,2037
E01034760,1430
E01013128,1328
E01013129,1288
E01013130,1378
E01013131,1439
E01013132,1437
E01013133,1412
E01013134,1335
E01013135,1443
E01013136,1318
E01013138,1268
E01013140,1544
E01013141,1551
E01013142,1779
E01013143,1358
E01013144,1434
E01013145,1138
E01013146,1632
E01013147,1361
E01013148,1297
E01013149,1054
E01013150,1214
E01013151,1154
E01013152,1432
E01013153,1221
E01013154,1288
E01013155,1272
E01013156,1332
E01013157,1736
E01013158,1333
E01013159,1655
E01013160,1281
E01013161,1319
E01013162,1600
E01013163,1265
E01013164,1840
E01013165,1328
E01013167,1772
E01013170,1429
E01013171,2056
E01013172,1640
E01013173,1344
E01013174,1561
E01013175,1930
E01013176,1288
E01013177,1473
E01013178,1360
E01013179,1593
E01013180,1362
E01013181,1532
E01013182,1414
E01013183,1541
E01013184,1534
E01013185,1483
E01013186,1577
E01013187,1375
E01013188,1564
E01013189,1562
E01013191,1542
E01013192,1457
E01013193,1488
E01013194,1350
E01013195,1357
E01013196,1275
E01013197,1238
E01013198,1332
E01013199,1016
E01013200,1185
E01013201,1534
E01013202,1425
E01013203,1446
E01013204,1398
E01013205,1334
E01013206,1385
E01013207,1348
E01013208,1394
E01013209,1422
E01013210,1323
E01013211,1405
E01013212,1315
E01013213,1134
E01013214,1475
E01013215,1722
E01013216,1167
E01013217,1353
E01013218,1423
E01013219,1678
E01013220,1629
E01013221,1753
E01013222,1644
E01013224,2082
E01013225,1223
E01013226,1440
E01013227,1470
E01013228,1458
E01013229,1586
E01013231,1564
E01013233,1352
E01013234,1388
E01033414,2883
E01035473,2265
E01035474,1465
E01035475,1829
E01035476,2514
E01035477,1879
E01035478,2426
E01035479,1351
E01035480,2335
E01013236,1634
E01013237,1775
E01013238,1627
E01013239,1511
E01013241,1462
E01013242,1905
E01013243,2258
E01013244,1987
E01013245,1443
E01013246,1513
E01013247,1745
E01013248,1772
E01013249,1837
E01013250,1701
E01013251,1820
E01013252,1629
E01013253,1912
E01013254,1806
E01013255,2257
E01013256,2402
E01013257,1870
E01013258,1703
E01013259,2014
E01013260,1357
E01013261,1331
E01013262,1249
E01013263,1379
E01013264,1830
E01013265,1634
E01013266,1776
E01013267,1190
E01013268,1243
E01013269,1788
E01013270,2044
E01013271,1954
E01013272,1714
E01013273,1634
E01013274,1954
E01013275,1443
E01013276,1616
E01013277,1377
E01013278,1616
E01013279,1565
E01013280,1382
E01013281,1401
E01013282,1666
E01013283,1475
E01013284,1513
E01013285,1357
E01013286,2249
E01013287,1437
E01013288,1497
E01013289,1542
E01013290,1634
E01013291,1705
E01013292,1822
E01013293,1478
E01013294,1500
E01013295,1383
E01013296,1972
E01013297,2676
E01013298,1769
E01013299,1534
E01013300,1970
E01013301,1617
E01013302,1612
E01013303,1312
E01013304,1562
E01013305,1736
E01013306,1621
E01013307,1739
E01013308,1839
E01013309,1669
E01013310,1441
E01013311,1855
E01013312,1976
E01013313,1504
E01013314,1582
E01013315,1510
E01013316,1340
E01013317,1379
E01013318,1501
E01013319,1975
E01013320,1269
E01013321,1608
E01013322,2298
E01013323,1481
E01013324,1410
E01013325,1525
E01013326,1600
E01013327,1350
E01013328,1181
E01013329,1901
E01013330,2097
E01013331,1725
E01013332,1969
E01013333,1638
E01013334,1683
E01033296,1605
E01033297,1691
E01035481,1414
E01035482,1499
E01035483,1383
E01013335,1711
E01013336,1506
E01013337,1658
E01013338,2401
E01013339,1668
E01013340,1228
E01013341,1342
E01013342,1494
E01013343,1993
E01013344,1460
E01013345,1743
E01013346,1647
E01013347,1679
E01013348,1793
E01013349,1404
E01013350,1680
E01013351,1927
E01013352,1745
E01013353,1661
E01013354,1348
E01013355,1847
E01013356,1378
E01013357,2324
E01013358,1503
E01013359,1556
E01013360,1802
E01013361,1675
E01013362,2254
E01013363,3480
E01013364,1983
E01013366,1805
E01013368,2232
E01013369,1691
E01013370,1508
E01013371,1461
E01013372,1533
E01013373,1503
E01013374,1516
E01013375,1265
E01013376,1389
E01013377,1564
E01013378,7131
E01013379,1434
E01013380,1657
E01013381,1715
E01013382,1716
E01013383,3239
E01013384,1717
E01013385,1458
E01013386,1754
E01013387,1625
E01013388,986
E01013389,1189
E01013390,1505
E01013391,1984
E01013392,1665
E01013393,1508
E01013394,1454
E01013395,1398
E01013396,1605
E01013397,1489
E01013398,1613
E01013399,1863
E01013400,1618
E01013401,1641
E01013402,1617
E01013403,2092
E01013404,1693
E01013405,1368
E01013406,2041
E01013407,1417
E01013408,1242
E01013409,1815
E01013410,1376
E01013411,1432
E01013412,2338
E01013413,1648
E01013414,1856
E01013416,1528
E01013417,1827
E01013418,1528
E01013419,2898
E01013420,1996
E01013421,1574
E01013422,2026
E01013423,1329
E01013424,1260
E01013425,1537
E01013426,1743
E01013427,1427
E01013428,1817
E01013429,2033
E01013430,1784
E01013431,2285
E01013432,2018
E01013433,1355
E01013434,1475
E01013435,1450
E01013436,1781
E01013437,1415
E01013438,1964
E01013439,1385
E01013440,1812
E01013441,1742
E01013442,1455
E01013443,1653
E01013444,1545
E01013445,1615
E01013446,1693
E01013447,1500
E01013448,1492
E01013449,1627
E01013450,1282
E01013451,1239
E01013452,1636
E01033067,1801
E01033068,1112
E01033069,1025
E01033070,2737
E01034761,2210
E01034762,1434
E01013453,2718
E01013454,1534
E01013455,2059
E01013456,2079
E01013457,2035
E01013458,1889
E01013459,2117
E01013460,2512
E01013461,1690
E01013462,1543
E01013463,1462
E01013464,1424
E01013465,1595
E01013466,1536
E01013467,1410
E01013468,1595
E01013469,1334
E01013470,1393
E01013471,2015
E01013472,2482
E01013473,1728
E01013474,1532
E01013475,1775
E01013476,1410
E01013477,1883
E01013480,2544
E01013481,2122
E01013483,2141
E01013484,2343
E01013485,2394
E01013486,2220
E01013487,2949
E01013488,1548
E01013489,1545
E01013490,1622
E01013491,1782
E01013492,1728
E01013493,1689
E01013494,1965
E01013495,1997
E01013496,1463
E01013497,1834
E01013498,1548
E01013499,1598
E01013500,1679
E01013501,1489
E01013502,1523
E01013503,1580
E01013504,1945
E01013505,1508
E01013506,1502
E01013507,1533
E01013508,1317
E01013509,1676
E01013510,1574
E01013511,1538
E01013512,1433
E01013513,1299
E01013514,1439
E01013515,2083
E01013517,1447
E01013518,1505
E01013519,1595
E01013520,1934
E01013521,1382
E01013522,2092
E01013523,1968
E01013524,2551
E01013525,1916
E01013526,1637
E01013527,1579
E01013528,1614
E01013529,2385
